
漫画,HUNTER×HUNTER,ハンター試験編,001,ゴンが初めてキルアと出会ったハンター試験の場所はどこ？,ゾルディック家,ビスケの森,シークレットサイト,ブランクス山,3,ハンター試験の第一次試験中に、ゴンはブランクス山でキルアと出会いました。,1
漫画,HUNTER×HUNTER,ハンター試験編,002,ハンター試験の第一次試験で出された課題は？,グルメハンターとしての料理,森の動物を捕獲する,目的地までたどり着く,迷路を突破する,1,第一次試験は、サトツの「グルメハンターとしての料理」でした。,1
漫画,HUNTER×HUNTER,ハンター試験編,003,ハンター試験の第二次試験で、メンチが出した課題は？,寿司を作る,巨大な豚を捕まえる,卵料理を作る,薬草を探す,3,第二次試験は、メンチによる「卵料理を作る」という課題でした。,1
漫画,HUNTER×HUNTER,ハンター試験編,004,ハンター試験でレオリオが目指しているものは？,医者になること,お金持ちになること,ハンターになること,復讐を果たすこと,1,レオリオは友人であるピルトンの死をきっかけに、医者になることを目指しています。,1
漫画,HUNTER×HUNTER,ハンター試験編,005,ハンター試験の第三次試験の舞台はどこ？,トリッキーマンション,グリードアイランド,天空闘技場,くじら島,1,第三次試験は、囚人が収容されているトリッキーマンションで行われました。,1
漫画,HUNTER×HUNTER,ハンター試験編,006,トリッキーマンションの試験官、リッポーは何ハンター？,犯罪ハンター,植物ハンター,グルメハンター,音楽ハンター,1,リッポーは犯罪ハンターでした。,2
漫画,HUNTER×HUNTER,ハンター試験編,007,ハンター試験の受験番号でゴンは？,287番,405番,44番,99番,4,ゴンの受験番号は44番でした。,1
漫画,HUNTER×HUNTER,ハンター試験編,008,ハンター試験でヒソカがゴンをマークしたのはなぜ？,ゴンの潜在能力に興味を持ったから,ゴンに恨みがあったから,試験官に頼まれたから,たまたま見つけたから,1,ヒソカはゴンの潜在能力に興味を持ち、自分の獲物としてマークしました。,1
漫画,HUNTER×HUNTER,ハンター試験編,009,ハンター試験でキルアが家族に内緒で家出した理由は？,退屈だったから,両親に反発したから,ハンターになりたかったから,世界を見たかったから,1,キルアは退屈だったからハンター試験を受けました。,2
漫画,HUNTER×HUNTER,ハンター試験編,010,トリッキーマンションでの選択肢で、レオリオが選んだのは？,短い道,長い道,どちらでもない,道を選ばない,2,レオリオは短い道ではなく長い道を選びました。,2
漫画,HUNTER×HUNTER,ハンター試験編,011,トリッキーマンションでトンパが仕掛けた罠とは？,毒入りジュース,落とし穴,偽の出口,幻覚を見せるガス,1,トンパは毒入りジュースを差し入れました。,2
漫画,HUNTER×HUNTER,ハンター試験編,012,トリッキーマンションで囚人たちと戦うことになったのはなぜ？,囚人が試験官だったから,囚人が脱走したから,試験の一環だったから,囚人が攻撃してきたから,3,囚人との戦いはトリッキーマンションの試験の一環でした。,2
漫画,HUNTER×HUNTER,ハンター試験編,013,ハンター試験の第四次試験の舞台はどこ？,ゼビル島,カナリア試験場,天空闘技場,流星街,1,第四次試験はゼビル島で行われました。,1
漫画,HUNTER×HUNTER,ハンター試験編,014,ゼビル島での試験内容は？,他の受験者のプレートを奪う,特定の動物を捕獲する,隠された財宝を探す,迷路を脱出する,1,ゼビル島では、他の受験者のプレートを奪い合うサバイバル試験が行われました。,1
漫画,HUNTER×HUNTER,ハンター試験編,015,ゴンがゼビル島でターゲットにしたのは誰？,ヒソカ,キルア,レオリオ,クラピカ,1,ゴンはヒソカのプレートを狙っていました。,2
漫画,HUNTER×HUNTER,ハンター試験編,016,ヒソカがゼビル島でターゲットにしたのは誰？,ゴン,イルミ,クロロ,カストロ,1,ヒソカはゴンをターゲットにしていました。,2
漫画,HUNTER×HUNTER,ハンター試験編,017,ゼビル島でゴンがヒソカのプレートを奪うために使った作戦は？,釣り竿で奪う,直接攻撃する,罠を仕掛ける,他の受験者と協力する,1,ゴンは釣り竿を使ってヒソカのプレートを奪いました。,2
漫画,HUNTER×HUNTER,ハンター試験編,018,ゼビル島での試験中にキルアが遭遇したのは？,ヒソカ,イルミ,クロロ,カストロ,2,キルアは実の兄であるイルミと遭遇しました。,2
漫画,HUNTER×HUNTER,ハンター試験編,019,ハンター試験の最終試験の形式は？,トーナメント戦,筆記試験,面接試験,集団行動試験,1,最終試験は1対1のトーナメント形式で行われました。,1
漫画,HUNTER×HUNTER,ハンター試験編,020,最終試験でキルアが降伏した相手は？,ゴン,レオリオ,イルミ,ハンゾー,3,キルアは兄であるイルミとの対戦で降伏しました。,2
漫画,HUNTER×HUNTER,ハンター試験編,021,最終試験でゴンが対戦した相手は？,ハンゾー,イルミ,レオリオ,キルア,1,ゴンはハンゾーと対戦し、勝利しました。,2
漫画,HUNTER×HUNTER,ハンター試験編,022,最終試験でレオリオが対戦した相手は？,ボドロ,キルア,イルミ,ゴン,1,レオリオはボドロと対戦し、敗北しました。,2
